,Chef,Établissement,Localité,Département,Région,naissance,nationalité,distinction,age,nb_distinction,nb_star_chef
70,Yannick Alléno,L'Abysse au Pavillon Ledoyen,Paris 8e,75 Paris,Île-de-France,1968-12-16 00:00:00.000000000,Français,"['3 étoiles au Guide Michelin', 'Mérite agricole', 'Ordre du Mérite', 'Arts et des Lettres']",51.0,4.0,3.0
71,Joël Robuchon,L'Atelier de Joël Robuchon - Étoile,Paris 8e,75 Paris,Île-de-France,1945-04-07 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', 'International Herald Tribune', 'Gault et Millau', 'Meilleur ouvrier de France', ""Officier de la Légion d'honneur""]",75.0,6.0,2.0
72,Christophe Pelé,Le Clarence,Paris 8e,75 Paris,Île-de-France,,,,,,
73,Jérôme Banctel,Le Gabriel,Paris 8e,75 Paris,Île-de-France,,,,,,
74,Jean-François Piège,Le Grand Restaurant,Paris 8e,75 Paris,Île-de-France,1970-09-25 00:00:00.000000000,Français,,50.0,1.0,2.0
75,David Bizet,Le Taillevent,Paris 8e,75 Paris,Île-de-France,,,,,,
76,Pascal Barbot,Astrance,Paris 16e,75 Paris,Île-de-France,1972-06-07 00:00:00.000000000,Français,,48.0,1.0,2.0
77,Christophe Moret,L'Abeille,Paris 16e,75 Paris,Île-de-France,,,,,,
78,Michel Rostang,Maison Rostang,Paris 17e,75 Paris,Île-de-France,,,,,,
79,Jean-Luc Tartarin,Jean-Luc Tartarin,Le Havre,76 Seine-Maritime,Normandie,,,,,,
80,Gilles Tournadre,Gill,Rouen,76 Seine-Maritime,Normandie,,,,,,
81,Éric Canino,La Voile,Ramatuelle,83 Var,Provence-Alpes-Côte d'Azur,,,,,,
82,Édouard Loubet,La Bastide de Capelongue,Bonnieux,84 Vaucluse,Provence-Alpes-Côte d'Azur,1970-09-25 00:00:00.000000000,Français,,50.0,1.0,2.0
83,Alexandre Couillon,La Marine,Noirmoutier-en-l'Île,85 Vendée,Pays de la Loire,1975-12-01 00:00:00.000000000,Français,,44.0,1.0,2.0
84,Jean-Michel Lorain,La Côte Saint Jacques,Joigny,89 Yonne,Bourgogne-Franche-Comté,1959-01-07 00:00:00.000000000,Français,,61.0,1.0,2.0
85,Joël Robuchon,Joël Robuchon Monte-Carlo (Hôtel Métropole),Monte-Carlo,Monaco,Monaco,1945-04-07 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', 'International Herald Tribune', 'Gault et Millau', 'Meilleur ouvrier de France', ""Officier de la Légion d'honneur""]",75.0,6.0,2.0
